filename,cleanup content,directory,cluster
66638946_1.txt,hssfclientanchor anchor anchor setanchortype 2,HSSFClientAnchor,3.0
93182055_1.txt,hssfclientanchor anchor hssfclientanchor shape getanchor string picindex string valueof anchor getrow1 string valueof anchor getcol1,HSSFClientAnchor,8.0
15642276_1.txt,void remove entrynode entry property table removeproperty entry getproperty if entry isdocumententry,EntryNode,1.0
97397929_1.txt,void remove entrynode entry property table removeproperty entry getproperty if entry isdocumententry,EntryNode,1.0
15642286_1.txt,entrynode child entrynode entries get oldname changename child getproperty newname entries put child getproperty getname child,EntryNode,2.0
15642286_2.txt,boolean deleteentry final entrynode entry deletechild entry getproperty entries remove entry getname,EntryNode,2.0
97394395_1.txt,ppdrawing ppdrawing sh getppdrawing ppdrawing addtextboxwrapper txtbox,PPDrawing,2.0
97394323_4.txt,ppdrawing ppdrawing getppdrawing eschercontainerrecord dg eschercontainerrecord ppdrawing getescherrecords 0,PPDrawing,1.0
97394323_5.txt,ppdrawing ppdrawing getppdrawing eschercontainerrecord dg eschercontainerrecord ppdrawing getescherrecords 0,PPDrawing,1.0
97394323_2.txt,ppdrawing ppdrawing getppdrawing eschercontainerrecord dg eschercontainerrecord ppdrawing getescherrecords 0,PPDrawing,1.0
97394323_3.txt,ppdrawing ppdrawing getppdrawing eschercontainerrecord dgcontainer eschercontainerrecord ppdrawing getescherrecords 0,PPDrawing,1.0
97394323_1.txt,public static textrun findtextruns ppdrawing ppdrawing eschertextboxwrapper wrappers ppdrawing gettextboxwrappers,PPDrawing,3.0
102528302_1.txt,hssffooter footer sheet getfooter footer setleft adempiere adempiere r footer setcenter env getheader getctx 0 footer setright displaytype getdateformat displaytype datetime getlanguage format now,HSSFFooter,1.0
126228263_1.txt,hssffooter footer sheet getfooter footer setleft adempiere adempiere r footer setcenter env getheader getctx 0 footer setright displaytype getdateformat displaytype datetime getlanguage format now,HSSFFooter,1.0
8373941_1.txt,hssffooter footer sheet getfooter footer setleft adempiere adempiere r footer setcenter env getheader getctx 0 footer setright displaytype getdateformat displaytype datetime getlanguage format now,HSSFFooter,1.0
129711141_1.txt,hssffooter footer sheet getfooter footer setleft adempiere adempiere r footer setcenter env getheader getctx 0 footer setright displaytype getdateformat displaytype datetime getlanguage format now,HSSFFooter,1.0
130483760_1.txt,hssffooter footer sheet getfooter footer setleft adempiere adempiere r footer setcenter env getheader getctx 0 footer setright displaytype getdateformat displaytype datetime getlanguage format now,HSSFFooter,1.0
